Date_Time,Relative Humidity in %,Rainfall in mm,Temperature in Degree C,Radiation value in MJ/m^2,Wind speed in kmph,Kerala Holidays,Day of the week,Average Demand of Prev. Day,Average Demand of Prev. week,Demand during this hour,Hourly Avg. of Prev. week,Demand in MW
01-01-2017 00:00,87,0,25.5,,,TRUE,1,2342.19125,2342.19125,2398.66,2398.66,2398.66
01-01-2017 01:00,85,0,26.2,,,TRUE,1,2342.19125,2342.19125,2238.83,2238.83,2238.83
01-01-2017 02:00,91,0,25.6,,,TRUE,1,2342.19125,2342.19125,2161.29,2161.29,2161.29
01-01-2017 03:00,93,0,25.3,,0,TRUE,1,2342.19125,2342.19125,2094.65,2094.65,2094.65
01-01-2017 04:00,93,0,24.4,,,TRUE,1,2342.19125,2342.19125,2064.19,2064.19,2064.19
01-01-2017 05:00,93,0,23.9,,,TRUE,1,2342.19125,2342.19125,2090.14,2090.14,2090.14
01-01-2017 06:00,94,0,23.7,,0,TRUE,1,2342.19125,2342.19125,2242.9,2242.9,2242.9
01-01-2017 07:00,94,0,22.6,,,TRUE,1,2342.19125,2342.19125,2330.15,2330.15,2330.15
01-01-2017 08:00,94,0,22.6,0.1,,TRUE,1,2342.19125,2342.19125,2285.23,2285.23,2285.23
01-01-2017 09:00,94,0,22.7,0.73,4,TRUE,1,2342.19125,2342.19125,2209.72,2209.72,2209.72
01-01-2017 10:00,70,0,26.3,2.28,,TRUE,1,2342.19125,2342.19125,2181.71,2181.71,2181.71
01-01-2017 11:00,59,0,29.3,2.68,,TRUE,1,2342.19125,2342.19125,2158.5,2158.5,2158.5
01-01-2017 12:00,40,0,30.3,2.68,6,TRUE,1,2342.19125,2342.19125,2171.38,2171.38,2171.38
01-01-2017 13:00,36,0,31.8,3.1,,TRUE,1,2342.19125,2342.19125,2142.67,2142.67,2142.67
01-01-2017 14:00,48,0,31.8,2.39,,TRUE,1,2342.19125,2342.19125,2165.62,2165.62,2165.62
01-01-2017 15:00,49,0,31.6,2.37,14,TRUE,1,2342.19125,2342.19125,2177.44,2177.44,2177.44
01-01-2017 16:00,48,0,30.8,1.51,,TRUE,1,2342.19125,2342.19125,2215.9,2215.9,2215.9
01-01-2017 17:00,51,0,30.8,0.59,,TRUE,1,2342.19125,2342.19125,2244.89,2244.89,2244.89
01-01-2017 18:00,58,0,30.3,0.13,14,TRUE,1,2342.19125,2342.19125,2358.22,2358.22,2358.22
01-01-2017 19:00,62,0,28.8,,,TRUE,1,2342.19125,2342.19125,3028.78,3028.78,3028.78
01-01-2017 20:00,64,0,28.3,,,TRUE,1,2342.19125,2342.19125,2987.56,2987.56,2987.56
01-01-2017 21:00,63,0,27.5,8.1,0,TRUE,1,2342.19125,2342.19125,2970.44,2970.44,2970.44
01-01-2017 22:00,70,0,26.9,,,TRUE,1,2342.19125,2342.19125,2827.9,2827.9,2827.9
01-01-2017 23:00,75,0,26.3,,,TRUE,1,2342.19125,2342.19125,2465.82,2465.82,2465.82
01-02-2017 00:00,80,0,25.8,,0,TRUE,2,2342.19125,2342.19125,2398.66,2398.66,2223.08
01-02-2017 01:00,85,0,25.9,,,TRUE,2,2342.19125,2342.19125,2238.83,2238.83,2105.89
01-02-2017 02:00,89,0,25,,,TRUE,2,2342.19125,2342.19125,2161.29,2161.29,2081.39
01-02-2017 03:00,92,0,24.7,,0,TRUE,2,2342.19125,2342.19125,2094.65,2094.65,2013.7
01-02-2017 04:00,92,0,24.8,,,TRUE,2,2342.19125,2342.19125,2064.19,2064.19,2003.51
01-02-2017 05:00,92,0,24.8,,,TRUE,2,2342.19125,2342.19125,2090.14,2090.14,2033.59
01-02-2017 06:00,92,0,24.8,,0,TRUE,2,2342.19125,2342.19125,2242.9,2242.9,2256.96
01-02-2017 07:00,92,0,25,,,TRUE,2,2342.19125,2342.19125,2330.15,2330.15,2428.63
